Text	Intents	States	Slots
thank you very much	O	THANK_YOU	O O O O 	0
i would like to make a restaurant reservation at 7.30 pm	RESERVE_RESTAURANT	O	O O O O O O O O O B-time I-time 	1
3 people will be coming	O	INFORM	B-num_people O O O O 	0
the reservation needs to be for next monday	O	INFORM	O O O O O O B-date I-date 	0
the name of the restaurant is oren hummus	O	INFORM	O O O O O O B-restaurant_name I-restaurant_name 	0
yes , oren hummus	O	AFFIRM	O O B-restaurant_name I-restaurant_name 	0
yes , oren hummus next monday at 7.30 pm for 3 people	O	AFFIRM	O O B-restaurant_name I-restaurant_name B-date I-date O B-time I-time O B-num_people O 	0
thank you , goodbye	O	THANK_YOU+GOOD_BYE	O O O O 	0
i want a 6 pm restaurant reservation	RESERVE_RESTAURANT	O	O O O B-time I-time O O 	1
cetrella is the restaurant	O	INFORM	B-restaurant_name O O O 	0
next monday for 5	O	INFORM	B-date I-date O B-num_people 	0
7 pm time	O	AFFIRM	B-time I-time O 	0
thanks , goodbye	O	THANK_YOU+GOOD_BYE	O O O 	0
hello , i want to reserve a table	RESERVE_RESTAURANT	GREETING	O O O O O O O O 	1
for wednesday	O	INFORM	O B-date 	0
3 people at the cheese cake factory at 7.15 pm	O	INFORM	B-num_people O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-time I-time 	0
that doesn ' t work	O	NEGATE	O O O O O 	0
sounds good	O	AFFIRM	O O 	0
thanks	O	THANK_YOU	O 	0
dinner at los altos	FIND_RESTAURANT	O	B-meal O B-location I-location 	1
greek , whatever rating	O	INFORM	B-category O O O 	0
cetrella	O	AFFIRM	B-restaurant_name 	0
hi , i ' d like to make a restaurant reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O 	1
when was alexander the great born	O	OTHER	O O O O O O 	0
make the reservation at sumiko for 4 people next monday at 7.15 pm	O	INFORM	O O O O B-restaurant_name O B-num_people O B-date I-date O B-time I-time 	0
yes	O	AFFIRM	O 	0
yes , that ' s correct	O	AFFIRM	O O O O O O 	0
thanks	O	THANK_YOU	O 	0
hi . can you reserve a table at a restaurant for me	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O O 	1
i want a table at sumiko for tonight	O	INFORM	O O O O O B-restaurant_name O B-date 	0
3 people at 8 pm	O	INFORM	B-num_people O O B-time I-time 	0
no . none of those times work	O	NEGATE	O O O O O O O 	0
how about friday	O	INFORM	O O B-date 	0
yes	O	AFFIRM	O 	0
thanks	O	THANK_YOU	O 	0
please reserve a restaurant for next monday at 7.30 pm	RESERVE_RESTAURANT	O	O O O O O B-date I-date O B-time I-time 	1
il fornaio	O	INFORM	B-restaurant_name I-restaurant_name 	0
4	O	INFORM	B-num_people 	0
thanks ! yes	O	AFFIRM	O O O 	0
thanks	O	GOOD_BYE	O 	0
book a table	RESERVE_RESTAURANT	O	O O O 	1
what	O	CANT_UNDERSTAND	O 	0
8 pm	O	INFORM	B-time I-time 	0
cheese cake factory for 3	O	INFORM	B-restaurant_name I-restaurant_name I-restaurant_name O B-num_people 	0
friday	O	INFORM	B-date 	0
nope	O	NEGATE	O 	0
thanks bye	O	THANK_YOU+GOOD_BYE	O O 	0
i need to make a restaurant reservation for 8 pm	RESERVE_RESTAURANT	O	O O O O O O O O B-time I-time 	1
yes	O	AFFIRM	O 	0
tomorrow	O	INFORM	B-date 	0
that ' s correct	O	AFFIRM	O O O O 	0
4	O	INFORM	B-num_people 	0
correct	O	AFFIRM	O 	0
il fornaio	O	INFORM	B-restaurant_name I-restaurant_name 	0
those times don ' t work	O	NEGATE	O O O O O O 	0
thank you	O	THANK_YOU	O O 	0
hi ! i want to make a reservation for a restaurant	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O 	1
yes , the sumiko restaurant . i think i know it	O	INFORM	O O O B-restaurant_name O O O O O O O 	0
yes , sumiko	O	AFFIRM	O O B-restaurant_name 	0
7.15 pm	O	INFORM	B-time I-time 	0
i ' m sorry i didn ' t understand	O	CANT_UNDERSTAND	O O O O O O O O O 	0
yes , 7.15 pm	O	AFFIRM	O O B-time I-time 	0
tomorrow night for 2 people	O	INFORM	B-date O O B-num_people O 	0
i ' m sorry , i didn ' t understand	O	CANT_UNDERSTAND	O O O O O O O O O O 	0
yes , that is correct	O	AFFIRM	O O O O O 	0
bye	O	GOOD_BYE	O 	0
hi , i want to reserve a table tomorrow night for 4 at 6 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O B-date O O B-num_people O B-time I-time 	1
amber india	O	INFORM	B-restaurant_name I-restaurant_name 	0
what	O	CANT_UNDERSTAND	O 	0
reserve a restaurant	RESERVE_RESTAURANT	O	O O O 	1
name of restaurant is pompei	O	INFORM	O O O O B-restaurant_name 	0
time is don ' t care	O	INFORM	O O O O O O 	0
number of people is 5	O	INFORM	O O O O B-num_people 	0
preferred date wednesday	O	INFORM	O O B-date 	0
prefer 8 pm	O	AFFIRM	O B-time I-time 	0
thank you	O	THANK_YOU	O O 	0
i want to make a restaurant reservation	RESERVE_RESTAURANT	O	O O O O O O O 	1
8 pm	O	INFORM	B-time I-time 	0
tonight at sushi boat	O	INFORM	B-date O B-restaurant_name I-restaurant_name 	0
4	O	INFORM	B-num_people 	0
yes	O	AFFIRM	O 	0
thanks , bye	O	THANK_YOU+GOOD_BYE	O O O 	0
hello , i want to reserve a restaurant	RESERVE_RESTAURANT	GREETING	O O O O O O O O 	1
at 7.30 pm for 5 people	O	INFORM	O B-time I-time O B-num_people O 	0
yes , 5 people	O	AFFIRM	O O B-num_people O 	0
ephesus	O	INFORM	B-restaurant_name 	0
wednesday	O	INFORM	B-date 	0
yes , 7.30 pm wednesday at ephesus for 5 people	O	AFFIRM	O O B-time I-time B-date O B-restaurant_name O B-num_people O 	0
bye , thanks	O	THANK_YOU+GOOD_BYE	O O O 	0
hi , i want to make a reservation at a restaurant	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O 	1
make it for tonight at 8 pm	O	INFORM	O O O B-date O B-time I-time 	0
make the reservation for 2 people at sakoon	O	INFORM	O O O O B-num_people O O B-restaurant_name 	0
yes , that is right	O	AFFIRM	O O O O O 	0
thanks	O	THANK_YOU	O 	0
i would like to make a reservation on friday for 2 people	RESERVE_RESTAURANT	O	O O O O O O O O B-date O B-num_people O 	1
amber india at anytime	O	INFORM	B-restaurant_name I-restaurant_name O O 	0
no	O	NEGATE	O 	0
ok thanks ! bye	O	THANK_YOU+GOOD_BYE	O O O O 	0
hello , can you book me a table on friday at 7.15 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O B-date O B-time I-time 	1
get a table for 4	O	INFORM	O O O O B-num_people 	0
cetrella	O	INFORM	B-restaurant_name 	0
what do you mean	O	CANT_UNDERSTAND	O O O O 	0
nevermind	O	NEGATE	O 	0
thanks anyway . see ya	O	THANK_YOU+GOOD_BYE	O O O O O 	0
hi , can you find restaurants in madison	FIND_RESTAURANT	GREETING	O O O O O O O B-location 	1
i would like italian , somewhere expensive	O	INFORM	O O O B-category O O B-price_range 	0
ok	O	AFFIRM	O 	0
hello , find los altos restaraunts	FIND_RESTAURANT	GREETING	O O O B-location I-location O 	1
french	O	INFORM	B-category 	0
sakoon	O	AFFIRM	B-restaurant_name 	0
hi ! i want a reservation set at the sushi boat for tonight , 3 people	RESERVE_RESTAURANT	GREETING	O O O O O O O O O B-restaurant_name I-restaurant_name O B-date O B-num_people O 	1
i don ' t care	O	INFORM	O O O O O 	0
i don ' t care	O	INFORM	O O O O O 	0
no	O	NEGATE	O 	0
thanks and bye	O	THANK_YOU+GOOD_BYE	O O O 	0
i want to make a reservation	RESERVE_RESTAURANT	O	O O O O O O 	1
tomorrow , party of 5 at sakoon	O	INFORM	B-date O O O B-num_people O B-restaurant_name 	0
8 pm	O	INFORM	B-time I-time 	0
no that won ' t work	O	NEGATE	O O O O O O 	0
ok	O	AFFIRM	O 	0
thanks	O	THANK_YOU+GOOD_BYE	O 	0
hi ! can you reserve restaurant for wednesday at 8 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O B-date O B-time I-time 	1
los altos grill	O	INFORM	B-restaurant_name I-restaurant_name I-restaurant_name 	0
2 people	O	INFORM	B-num_people O 	0
not good	O	NEGATE	O O 	0
6 pm is good	O	INFORM	B-time I-time O O 	0
okay 6 pm	O	AFFIRM	O B-time I-time 	0
yes correct , restaurant reservation for 2 people at 6 pm at los altos grill	O	AFFIRM	O O O O O O B-num_people O O B-time I-time O B-restaurant_name I-restaurant_name I-restaurant_name 	0
okay thanks	O	THANK_YOU	O O 	0
hello . please find a restaurant in redmond	FIND_RESTAURANT	GREETING	O O O O O O O B-location 	1
taiwanese food . price range and rating is unimportant	O	INFORM	B-category O O O O O O O O 	0
los altos grill	O	AFFIRM	B-restaurant_name I-restaurant_name I-restaurant_name 	0
hi , i want to make a reservation at 7.15 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O B-time I-time 	1
at cascal	O	INFORM	O B-restaurant_name 	0
on friday for 4 people	O	INFORM	O B-date O B-num_people O 	0
date is friday and for 4 people	O	AFFIRM	O O B-date O O B-num_people O 	0
date friday at 7.15 pm at cascal fro 4 people is correct	O	AFFIRM	O B-date O B-time I-time O B-restaurant_name O B-num_people O O O 	0
thank you	O	THANK_YOU	O O 	0
book a table	RESERVE_RESTAURANT	O	O O O 	1
i don ' t understand	O	CANT_UNDERSTAND	O O O O O 	0
the restaurant is sakoon and i ' ll be there at 7.15 pm	O	INFORM	O O O B-restaurant_name O O O O O O O B-time I-time 	0
4 people are going and it is tonight	O	INFORM	B-num_people O O O O O O B-date 	0
yes , 4 people are going tonight	O	AFFIRM	O O B-num_people O O O B-date 	0
no	O	NEGATE	O 	0
what about for the restaurant cascal	O	INFORM	O O O O O B-restaurant_name 	0
no	O	NEGATE	O 	0
what about for the cheese cake factory	O	INFORM	O O O O B-restaurant_name I-restaurant_name I-restaurant_name 	0
no	O	NEGATE	O 	0
yes	O	INFORM	O 	0
yes please	O	AFFIRM	O O 	0
no	O	NEGATE	O 	0
yes	O	AFFIRM	O 	0
thanks	O	THANK_YOU	O 	0
i need a reservation	RESERVE_RESTAURANT	O	O O O O 	1
tonight for 7.15 pm and 4 people at sumiko	O	INFORM	B-date O B-time I-time O B-num_people O O B-restaurant_name 	0
what	O	CANT_UNDERSTAND	O 	0
for 7.15 pm	O	INFORM	O B-time I-time 	0
goodbye	O	GOOD_BYE	O 	0
can you please find the name of a chinese restaurant in morristown that serves breakfast	FIND_RESTAURANT	O	O O O O O O O O B-category O O B-location O O B-meal 	1
yes , los altos grill	O	AFFIRM	O O B-restaurant_name I-restaurant_name I-restaurant_name 	0
reserve a restaurant for 8 pm tomorrow	RESERVE_RESTAURANT	O	O O O O B-time I-time B-date 	1
5 people number	O	INFORM	B-num_people O O 	0
ephesus restaurant name	O	INFORM	B-restaurant_name O O 	0
restaurant name in ephesus	O	AFFIRM	O O O B-restaurant_name 	0
no	O	NEGATE	O 	0
can you find me a restaurant	FIND_RESTAURANT	O	O O O O O O 	1
i like expensive indian food	O	INFORM	O O B-price_range B-category O 	0
let ' s do cetrella	O	AFFIRM	O O O O B-restaurant_name 	0
i would like to make a reservation at a restaurant	RESERVE_RESTAURANT	O	O O O O O O O O O O 	1
the date is next monday and the number of people is 4 . please make the time for 6 pm	O	INFORM	O O O B-date I-date O O O O O O B-num_people O O O O O O B-time I-time 	0
the name of the restaurant is los altos grill	O	INFORM	O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name 	0
yes , that is correct	O	AFFIRM	O O O O O 	0
yes , 7 pm will be fine	O	AFFIRM	O O B-time I-time O O O 	0
thank you very much , have a great day . bye	O	THANK_YOU+GOOD_BYE	O O O O O O O O O O O 	0
hi can i reserve a restaurant	RESERVE_RESTAURANT	GREETING	O O O O O O 	1
i need amarin for wednesday for 4 people	O	INFORM	O O B-restaurant_name O B-date O B-num_people O 	0
set it up for 8 pm	O	INFORM	O O O O B-time I-time 	0
no , 7.30 pm won ' t work	O	NEGATE	O O B-time I-time O O O O 	0
ok , thanks . bye	O	THANK_YOU+GOOD_BYE	O O O O O 	0
i want a reservation for dinner at 6 pm	RESERVE_RESTAURANT	O	O O O O O O O B-time I-time 	1
tomorrow	O	INFORM	B-date 	0
3	O	INFORM	B-num_people 	0
oren hummus	O	INFORM	B-restaurant_name I-restaurant_name 	0
i ' d like to reserve a table at a restaurant for tomorrow for 5 people	RESERVE_RESTAURANT	O	O O O O O O O O O O O O B-date O B-num_people O 	1
the restaurant is oren hummus and it doesn ' t matter what time	O	INFORM	O O O B-restaurant_name I-restaurant_name O O O O O O O O 	0
yes , the time doesn ' t matter and the restaurant is oren hummus	O	INFORM+AFFIRM	O O O O O O O O O O O O B-restaurant_name I-restaurant_name 	0
i don ' t understand	O	CANT_UNDERSTAND	O O O O O 	0
no	O	NEGATE	O 	0
thank you , bye	O	THANK_YOU+GOOD_BYE	O O O O 	0
hey ! i need to make a restaurant reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O O 	1
oren hummus	O	INFORM	B-restaurant_name I-restaurant_name 	0
5 people , at 7.15 pm	O	INFORM	B-num_people O O O B-time I-time 	0
next monday	O	INFORM	B-date I-date 	0
yeah , 6.30 pm would be fine	O	AFFIRM	O O B-time I-time O O O 	0
thanks	O	THANK_YOU	O 	0
hi ! please find the in restaurant yorktown heights that serve lunch	FIND_RESTAURANT	GREETING	O O O O O O O B-location I-location O O B-meal 	1
the name of the restaurant is los altos grill	O	AFFIRM	O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name 	0
hey google , i want to make restaurant reservations for 8 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O B-time I-time 	1
cheese cake factory for 5 people this friday	O	INFORM	B-restaurant_name I-restaurant_name I-restaurant_name O B-num_people O O B-date 	0
what did you say ? !	O	CANT_UNDERSTAND	O O O O O O 	0
thanks ! forget it , then . bye	O	THANK_YOU+GOOD_BYE	O O O O O O O O 	0
hi , can you reserve a restaurant	RESERVE_RESTAURANT	GREETING	O O O O O O O 	1
amber india	O	INFORM	B-restaurant_name I-restaurant_name 	0
8 pm and for 5 people	O	INFORM	B-time I-time O O B-num_people O 	0
wednesday	O	INFORM	B-date 	0
6.30 pm won ' t work	O	NEGATE	B-time I-time O O O O 	0
ok . bye	O	GOOD_BYE	O O O 	0
i need to reserve a restaurant for 5.30 pm	RESERVE_RESTAURANT	O	O O O O O O O B-time I-time 	1
4 people at sushi boat	O	INFORM	B-num_people O O B-restaurant_name I-restaurant_name 	0
friday	O	INFORM	B-date 	0
no , can ' t do that	O	NEGATE	O O O O O O O 	0
okay , how about 6 pm	O	INFORM	O O O O B-time I-time 	0
right	O	AFFIRM	O 	0
bye	O	GOOD_BYE	O 	0
make a reservation	RESERVE_RESTAURANT	O	O O O 	1
friday , 4 people	O	INFORM	B-date O B-num_people O 	0
7.30 pm at los altos grill	O	INFORM	B-time I-time O B-restaurant_name I-restaurant_name I-restaurant_name 	0
no	O	NEGATE	O 	0
how about sakoon	O	INFORM	O O B-restaurant_name 	0
yes	O	AFFIRM	O 	0
thanks	O	THANK_YOU	O 	0
please find a dinner restaurant for me	FIND_RESTAURANT	O	O O O B-meal O O O 	1
expensive is fine	O	INFORM	B-price_range O O 	0
let ' s go with cascal	O	AFFIRM	O O O O O B-restaurant_name 	0
please open a reservation at a restaurant for me	RESERVE_RESTAURANT	O	O O O O O O O O O 	1
the date will be friday and the name of the location is cascal . i would like a reservation at 6 pm for 6 people	O	INFORM	O O O O B-date O O O O O O O B-restaurant_name O O O O O O O B-num_people B-time O B-num_people O 	0
i can ' t understand what you ' re saying	O	CANT_UNDERSTAND	O O O O O O O O O O 	0
that ' s correct . a reservation for 6 people at 6 pm for the restaurant cascal on friday	O	AFFIRM	O O O O O O O O B-time O O B-time I-time O O O B-restaurant_name O B-date 	0
yes i wanted a reservation for 6 people on friday at the restaurant cascal at 6 pm	O	AFFIRM	O O O O O O B-time O O B-date O O O B-restaurant_name O B-time I-time 	0
thanks a lot	O	THANK_YOU	O O O 	0
get me a restaurant list for redmond	FIND_RESTAURANT	O	O O O O O O B-location 	1
i ' d like an indian restaurant for any meal that is expensive	O	INFORM	O O O O O B-category O O O O O O B-price_range 	0
let ' s go with cascal	O	AFFIRM	O O O O O B-restaurant_name 	0
i need to make a reservation	RESERVE_RESTAURANT	O	O O O O O O 	1
it will be wednesday and there will be 5 of us	O	INFORM	O O O B-date O O O O B-num_people O O 	0
i need it at 6 pm	O	INFORM	O O O O B-time I-time 	0
il fornaio	O	INFORM	B-restaurant_name I-restaurant_name 	0
yes , that works	O	AFFIRM	O O O O 	0
thanks	O	THANK_YOU	O 	0
hello , i want to make a reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O 	1
for wednesday	O	INFORM	O B-date 	0
for 4 people at los altos grill	O	INFORM	O B-num_people O O B-restaurant_name I-restaurant_name I-restaurant_name 	0
please could you repeat that	O	CANT_UNDERSTAND	O O O O O 	0
oh , for 7.15 pm	O	INFORM	O O O B-time I-time 	0
correct	O	AFFIRM	O 	0
thanks so much . bye	O	THANK_YOU+GOOD_BYE	O O O O O 	0
hey , can you get me a reservation for 8 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O B-time I-time 	1
next monday	O	INFORM	B-date I-date 	0
4	O	INFORM	B-num_people 	0
oren hummus	O	INFORM	B-restaurant_name I-restaurant_name 	0
none of those will work . just forget it	O	NEGATE	O O O O O O O O O 	0
make a reservation at a restaurant for 7.15 pm	RESERVE_RESTAURANT	O	O O O O O O O B-time I-time 	1
the restaurant is cascal , for 2 people tomorrow	O	INFORM	O O O B-restaurant_name O O B-num_people O B-date 	0
no	O	NEGATE	O 	0
thanks and bye	O	THANK_YOU+GOOD_BYE	O O O 	0
can i get a restaurant reservation for next monday at 5.30 pm	RESERVE_RESTAURANT	O	O O O O O O O B-date I-date O B-time I-time 	1
at cascal , and i need a reservation for 4	O	INFORM	O B-restaurant_name O O O O O O O B-num_people 	0
yes , that ' s correct	O	AFFIRM	O O O O O O 	0
no	O	NEGATE	O 	0
okay , bye	O	GOOD_BYE	O O O 	0
find a restaurant for brunch in redmond	FIND_RESTAURANT	O	O O O O B-meal O B-location 	1
pompei	O	AFFIRM	B-restaurant_name 	0
book a restaurant for me	RESERVE_RESTAURANT	O	O O O O O 	1
at 8 pm	O	INFORM	O B-time I-time 	0
yes	O	AFFIRM	O 	0
tonight for 5 people	O	INFORM	B-date O B-num_people O 	0
yes	O	AFFIRM	O 	0
il fornaio	O	INFORM	B-restaurant_name I-restaurant_name 	0
yes	O	AFFIRM	O 	0
bye	O	GOOD_BYE	O 	0
i want to make a dinner reservation for friday at 7.15 pm	RESERVE_RESTAURANT	O	O O O O O O O O B-date O B-time I-time 	1
there will be 2 of us	O	INFORM	O O O B-num_people O O 	0
yes	O	AFFIRM	O 	0
sumiko	O	INFORM	B-restaurant_name 	0
yes	O	AFFIRM	O 	0
yes . sumiko , friday at 7.15 pm for 2	O	AFFIRM	O O B-restaurant_name O B-date O B-time I-time O B-num_people 	0
thanks	O	THANK_YOU	O 	0
i want to make a restaurant reservation for next monday at 7.15 pm	RESERVE_RESTAURANT	O	O O O O O O O O B-date I-date O B-time I-time 	1
for 4 people	O	INFORM	O B-num_people O 	0
yes 4	O	AFFIRM	O B-num_people 	0
sushi boat	O	INFORM	B-restaurant_name I-restaurant_name 	0
6.15 pm doesn ' t work	O	NEGATE	B-time I-time O O O O 	0
thanks and bye	O	THANK_YOU+GOOD_BYE	O O O 	0
hi ! reserve table at restuarant for 7.15 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O B-time I-time 	1
there are 2 people for friday and the restaurant is called amber india	O	INFORM	O O B-num_people O O B-date O O O O O B-restaurant_name I-restaurant_name 	0
those times do not work	O	NEGATE	O O O O O 	0
thanks for your assistance . bye	O	THANK_YOU+GOOD_BYE	O O O O O O 	0
hello , i ' m looking for a restaurant in madison	FIND_RESTAURANT	GREETING	O O O O O O O O O O B-location 	1
french food and no preference for meal . inexpensive for price range	O	INFORM	B-category O O O O O O O B-price_range O O O 	0
i ' m interested in cetrella	O	AFFIRM	O O O O O B-restaurant_name 	0
hi ! find expensive indian restaurant in orlando	FIND_RESTAURANT	GREETING	O O O B-price_range B-category O O B-location 	1
vietnamese restaurant	O	NEGATE+INFORM	B-category O 	0
evvia	O	AFFIRM	B-restaurant_name 	0
hi ! i want to reserve a table at a restaurant	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O 	1
next monday at pompei	O	INFORM	B-date I-date O B-restaurant_name 	0
8 pm	O	INFORM	B-time I-time 	0
3	O	INFORM	B-num_people 	0
no , that doesnt work	O	NEGATE	O O O O O 	0
i would prefer cetrella instead	O	INFORM	O O O B-restaurant_name O 	0
no	O	NEGATE	O 	0
thanks	O	THANK_YOU	O 	0
i want to make a restaurant reservation for 7.15 pm	RESERVE_RESTAURANT	O	O O O O O O O O B-time I-time 	1
4 guests for tonight at sakoon	O	INFORM	B-num_people O O B-date O B-restaurant_name 	0
goodbye	O	GOOD_BYE	O 	0
hi , please find a restaurant in middletown	FIND_RESTAURANT	GREETING	O O O O O O O B-location 	1
expensive	O	INFORM	B-price_range 	0
sakoon	O	AFFIRM	B-restaurant_name 	0
hello . i want to reserve a restaurant for tonight at 5.30 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O B-date O B-time I-time 	1
4 people are going and the restaurant ' s name is los altos grill	O	INFORM	B-num_people O O O O O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name 	0
no	O	NEGATE	O 	0
no	O	NEGATE	O 	0
how about tomorrow	O	INFORM	O O B-date 	0
no	O	NEGATE	O 	0
no	O	NEGATE	O 	0
what about a reservation at the restaurant sakoon	O	INFORM	O O O O O O O B-restaurant_name 	0
no	O	NEGATE	O 	0
what about 6 pm	O	INFORM	O O B-time I-time 	0
6.30 pm is fine	O	AFFIRM	B-time I-time O O 	0
thank you . goodbye	O	THANK_YOU+GOOD_BYE	O O O O 	0
please make a reservation for tonight at 6 pm	RESERVE_RESTAURANT	O	O O O O O B-date O B-time I-time 	1
it is for the sushi boat for 6 people	O	INFORM	O O O O B-restaurant_name I-restaurant_name O B-num_people O 	0
yes , those details are correct	O	AFFIRM	O O O O O O 	0
thanks . talk to you later . bye	O	THANK_YOU+GOOD_BYE	O O O O O O O O 	0
book a table	RESERVE_RESTAURANT	O	O O O 	1
it ' s called il fornaio	O	INFORM	O O O O B-restaurant_name I-restaurant_name 	0
wednesday at 7 pm for 5 people	O	INFORM	B-date O B-time I-time O B-num_people O 	0
thanks	O	THANK_YOU	O 	0
i want to make reservations for 7.30 pm	RESERVE_RESTAURANT	O	O O O O O O B-time I-time 	1
tonight , reservations at ephesus for 6 people	O	INFORM	B-date O O O B-restaurant_name O B-num_people O 	0
yes , 7.30 pm tonight at ephesus for 6	O	AFFIRM	O O B-time I-time B-date O B-restaurant_name O B-num_people 	0
bye	O	GOOD_BYE	O 	0
hi . please find an inexpensive restaurant in kirkland	FIND_RESTAURANT	GREETING	O O O O O B-price_range O O B-location 	1
please give me more information on the evvia	O	AFFIRM	O O O O O O O B-restaurant_name 	0
restaurant reservation for 7.15 pm	RESERVE_RESTAURANT	O	O O O B-time I-time 	1
reservation for tomorrow for 5 people at oren hummus	O	INFORM	O O B-date O B-num_people O O B-restaurant_name I-restaurant_name 	0
no	O	NEGATE	O 	0
that works	O	AFFIRM	O O 	0
thank you	O	THANK_YOU	O O 	0
hello ! i want to reserve a restaurant at 5.30 pm on wednesday	RESERVE_RESTAURANT	GREETING	O O O O O O O O O B-time I-time O B-date 	1
yes , that is correct	O	AFFIRM	O O O O O 	0
it will be a party of 4	O	INFORM	O O O O O O B-num_people 	0
yes , that is correct	O	AFFIRM	O O O O O 	0
i would like to make the reservation for il fornaio	O	INFORM	O O O O O O O O B-restaurant_name I-restaurant_name 	0
i would like a reservation at 5 : 30 please	O	NEGATE	O O O O O O O O O O 	0
i want to make the reservation for 5 : 30 pm	O	NEGATE	O O O O O O O O O O O 	0
ok , bye	O	GOOD_BYE	O O O 	0
find me a nearby restaurant	FIND_RESTAURANT	O	O O O O O 	1
i would like to eat french food	O	INFORM	O O O O O B-category O 	0
i would like inexpensive food	O	INFORM	O O O B-price_range O 	0
i ' d like to go to los altos grill	O	AFFIRM	O O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name 	0
hi , i want to make a reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O 	1
8 pm	O	INFORM	B-time I-time 	0
yes , 8 pm	O	AFFIRM	O O B-time I-time 	0
i don ' t understand	O	CANT_UNDERSTAND	O O O O O 	0
3 people	O	INFORM	B-num_people O 	0
ephesus , tomorrow	O	INFORM	B-restaurant_name O B-date 	0
correct tomorrow at ephesus	O	AFFIRM	O B-date O B-restaurant_name 	0
no	O	NEGATE	O 	0
no	O	NEGATE	O 	0
try evvia	O	INFORM	O B-restaurant_name 	0
no	O	NEGATE	O 	0
goodbye	O	GOOD_BYE	O 	0
hi i want to make a restaurant reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O 	1
tonight at 7.15 pm for 5 people	O	INFORM	B-date O B-time I-time O B-num_people O 	0
ok reservation for tonight	O	AFFIRM	O O O B-date 	0
sumiko	O	INFORM	B-restaurant_name 	0
not a good time	O	NEGATE	O O O O 	0
okay	O	AFFIRM	O 	0
okay thanks bye	O	THANK_YOU+GOOD_BYE	O O O 	0
hello can we please reserve a restaurant	RESERVE_RESTAURANT	GREETING	O O O O O O O 	1
next monday	O	INFORM	B-date I-date 	0
i would prefer the reservation at 5.30 pm	O	INFORM	O O O O O O B-time I-time 	0
5	O	INFORM	B-num_people 	0
cascal restaurant	O	INFORM	B-restaurant_name O 	0
i don ' t want those times	O	NEGATE	O O O O O O O 	0
thanks anyways bye - bye	O	THANK_YOU+GOOD_BYE	O O O O O 	0
" hi , i ' d like to make a reservation for friday at 7.15 pm . "	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O O B-date O B-time I-time O O 	1
" reservation for 6 at los altos grill , please . "	O	INFORM	O O O B-num_people O B-restaurant_name I-restaurant_name I-restaurant_name O O O O 	0
" no , that doesn ' t work . "	O	NEGATE	O O O O O O O O O O 	0
" sakoon . "	O	INFORM	O B-restaurant_name O O 	0
" no , that doesn ' t work . "	O	NEGATE	O O O O O O O O O O 	0
i don ' t understand	O	CANT_UNDERSTAND	O O O O O 	0
" for 8 pm . "	O	INFORM	O O B-time I-time O O 	0
" no . "	O	NEGATE	O O O O 	0
" what else do you have ? . "	O	REQUEST_ALTS	O O O O O O O O O 	0
thanks , goodbye	O	THANK_YOU+GOOD_BYE	O O O 	0
i would like to make a reservation please	RESERVE_RESTAURANT	O	O O O O O O O O 	1
that would be at oren hummus restaurant	O	INFORM	O O O O B-restaurant_name I-restaurant_name O 	0
that would be for next monday at 6 pm , for 3 people	O	INFORM	O O O O B-date I-date O B-time I-time O O B-num_people O 	0
8.30 pm would be fine	O	AFFIRM	B-time I-time O O O 	0
bye	O	GOOD_BYE	O 	0
hello , i want to make a reservation	RESERVE_RESTAURANT	GREETING	O O O O O O O O 	1
7.15 pm with 6 people	O	INFORM	B-time I-time O B-num_people O 	0
il fornaio	O	INFORM	B-restaurant_name I-restaurant_name 	0
wednesday	O	INFORM	B-date 	0
yes	O	AFFIRM	O 	0
no	O	NEGATE	O 	0
next monday	O	INFORM	B-date I-date 	0
i don ' t understand	O	CANT_UNDERSTAND	O O O O O 	0
i want the reservation at 7 pm	O	AFFIRM	O O O O O B-time I-time 	0
thank you , goodbye	O	THANK_YOU+GOOD_BYE	O O O O 	0
hi , would you book a dinner reservation for me at 7.15 pm	RESERVE_RESTAURANT	GREETING	O O O O O O O O O O O B-time I-time 	1
